TradeID;Symbol;Direction;OpenDate;OpenTime;CloseDate;CloseTime;AverageOpenPrice;AverageClosePrice;Result
31909;NOC;LONG;2022-03-14;21:32:00;2022-03-16;14:29:00;441.51000000000005;447.5299999999999;60.19999999999891
32861;TSLA;SHORT;2022-03-16;14:31:00;2022-03-16;15:01:00;810.0;828.28;-182.79999999999927
885153;XOM;LONG;2022-09-02;16:23:00;2022-09-02;16:24:00;96.34;96.44;0.09999999999999432
